scenario,model,episode_id,reward
oasis_cluster,CA,5,-391.1000
oasis_cluster,CA,6,-373.5000
oasis_cluster,CA,7,-380.1000
oasis_cluster,CA,8,-378.9000
oasis_cluster,CA,9,-364.0000
oasis_cluster,CA,10,-407.5000
oasis_cluster,CA,11,-392.9000
oasis_cluster,CA,12,-353.8000
oasis_cluster,CA,13,-388.5000
oasis_cluster,CA,14,-364.4000
oasis_cluster,CA,15,-383.3000
oasis_cluster,CA,16,-392.1000
oasis_cluster,CA,17,-383.0000
oasis_cluster,CA,18,-385.9000
oasis_cluster,CA,19,-401.1000
oasis_cluster,CA,20,-410.0000
oasis_cluster,CA,21,-366.3000
oasis_cluster,CA,22,-412.8000
oasis_cluster,CA,23,-404.9000
oasis_cluster,CA,24,-371.0000
oasis_cluster,CA,25,-383.6000
oasis_cluster,CA,26,-379.3000
oasis_cluster,CA,27,-379.2000
oasis_cluster,CA,28,-390.1000
oasis_cluster,CA,29,-381.3000
oasis_cluster,CA,30,-397.9000
oasis_cluster,SA,1,-141.6000
oasis_cluster,SA,2,-425.9000
oasis_cluster,SA,3,-241.1000
oasis_cluster,SA,4,2.0000
oasis_cluster,SA,5,-356.0000
oasis_cluster,SA,6,-373.8000
oasis_cluster,SA,7,-354.0000
oasis_cluster,SA,8,-66.1000
oasis_cluster,SA,9,2.0000
oasis_cluster,SA,10,-391.8000
oasis_cluster,SA,11,-345.4000
oasis_cluster,SA,12,-361.7000
oasis_cluster,SA,13,-398.6000
oasis_cluster,SA,14,-444.0000
oasis_cluster,SA,15,-384.0000
oasis_cluster,SA,16,-413.0000
oasis_cluster,SA,17,-383.1000
oasis_cluster,SA,18,-164.1000
oasis_cluster,SA,19,-121.8000
oasis_cluster,SA,20,-379.4000
oasis_cluster,SA,21,-382.5000
oasis_cluster,SA,22,2.0000
oasis_cluster,SA,23,-389.1000
oasis_cluster,SA,24,-9.2000
oasis_cluster,SA,25,2.0000
oasis_cluster,SA,26,-87.1000
oasis_cluster,SA,27,-353.9000
oasis_cluster,SA,28,-131.6000
oasis_cluster,SA,29,-353.2000
oasis_cluster,SA,30,-448.2000
multi_ignition,CA,1,-183.1000
multi_ignition,CA,2,-200.0000
multi_ignition,CA,3,-139.1000
multi_ignition,CA,4,-163.3000
multi_ignition,CA,5,-163.1000
multi_ignition,CA,6,-209.4000
multi_ignition,CA,7,-195.1000
multi_ignition,CA,8,-199.1000
multi_ignition,CA,9,-196.4000
multi_ignition,CA,10,-197.7000
multi_ignition,CA,11,-180.2000
multi_ignition,CA,12,-187.0000
multi_ignition,CA,13,-212.2000
multi_ignition,CA,14,-204.7000
multi_ignition,CA,15,-187.0000
multi_ignition,CA,16,-186.1000
multi_ignition,CA,17,-206.1000
multi_ignition,CA,18,-183.8000
multi_ignition,CA,19,-136.1000
multi_ignition,CA,20,-201.0000
multi_ignition,CA,21,-222.7000
multi_ignition,CA,22,-162.4000
multi_ignition,CA,23,-136.7000
multi_ignition,CA,24,-148.9000
multi_ignition,CA,25,-215.7000
multi_ignition,CA,26,-201.8000
multi_ignition,CA,27,-207.4000
multi_ignition,CA,28,-150.8000
multi_ignition,CA,29,-213.5000
multi_ignition,CA,30,-191.2000
multi_ignition,SA,1,-111.1000
multi_ignition,SA,2,-69.3000
multi_ignition,SA,3,-182.9000
multi_ignition,SA,4,-72.9000
multi_ignition,SA,5,-90.5000
multi_ignition,SA,6,-77.5000
multi_ignition,SA,7,-104.2000
multi_ignition,SA,8,-183.8000
multi_ignition,SA,9,-206.8000
multi_ignition,SA,10,-230.5000
multi_ignition,SA,11,-119.6000
multi_ignition,SA,12,-61.8000
multi_ignition,SA,13,-187.0000
multi_ignition,SA,14,-167.6000
multi_ignition,SA,15,-179.0000
multi_ignition,SA,16,-219.7000
multi_ignition,SA,17,-188.3000
multi_ignition,SA,18,-87.3000
multi_ignition,SA,19,-72.7000
multi_ignition,SA,20,-49.1000
multi_ignition,SA,21,-92.2000
multi_ignition,SA,22,-72.7000
multi_ignition,SA,23,-80.8000
multi_ignition,SA,24,-62.0000
multi_ignition,SA,25,-65.9000
multi_ignition,SA,26,-132.4000
multi_ignition,SA,27,-145.1000
multi_ignition,SA,28,-153.8000
multi_ignition,SA,29,-180.7000
multi_ignition,SA,30,-219.7000
narrow_corridor,CA,1,-16.8000
narrow_corridor,CA,2,1.5000
narrow_corridor,CA,3,-20.8000
narrow_corridor,CA,4,1.3000
narrow_corridor,CA,5,1.8000
narrow_corridor,CA,6,-88.2000
narrow_corridor,CA,7,1.6000
narrow_corridor,CA,8,-29.3000
narrow_corridor,CA,9,-25.6000
narrow_corridor,CA,10,1.6000
narrow_corridor,CA,11,-33.4000
narrow_corridor,CA,12,1.6000
narrow_corridor,CA,13,1.1000
narrow_corridor,CA,14,1.8000
narrow_corridor,CA,15,1.6000
narrow_corridor,CA,16,1.8000
narrow_corridor,CA,17,1.6000
narrow_corridor,CA,18,1.6000
narrow_corridor,CA,19,1.1000
narrow_corridor,CA,20,1.6000
narrow_corridor,CA,21,1.6000
narrow_corridor,CA,22,-23.2000
narrow_corridor,CA,23,1.6000
narrow_corridor,CA,24,-19.9000
narrow_corridor,CA,25,-30.8000
narrow_corridor,CA,26,-87.0000
narrow_corridor,CA,27,1.6000
narrow_corridor,CA,28,1.6000
narrow_corridor,CA,29,1.5000
