#{"t_start": 1777574821.3629181, "env_id": "None"}
r,l,t,fire_cells,burning_population,newly_burned,fire_delta,new_ignitions
-57.1,100,67.010178,0,0,0,0.0,0
-12.2,100,68.398107,0,0,0,0.0,0
1.4,100,68.580204,0,0,0,0.0,0
-33.7,100,68.755208,0,0,0,0.0,0
-0.5,100,68.898128,0,0,0,0.0,0
-23.1,100,69.037311,0,0,0,0.0,0
-145.6,100,69.150955,0,0,0,0.0,0
-74.5,100,69.276141,0,0,0,0.0,0
1.8,100,69.388721,0,0,0,0.0,0
1.8,100,69.501518,0,0,0,0.0,0
-50.0,100,69.615773,0,0,0,0.0,0
0.3,100,69.737321,0,0,0,0.0,0
-68.3,100,69.853705,0,0,0,0.0,0
-226.2,100,69.963725,0,0,0,0.0,0
-30.5,100,70.051259,0,0,0,0.0,0
-139.2,100,70.152507,0,0,0,0.0,0
-209.6,100,70.254172,0,0,0,0.0,0
1.6,100,70.389382,0,0,0,0.0,0
-147.7,100,70.490643,0,0,0,0.0,0
-62.0,100,70.606738,0,0,0,0.0,0
2.0,100,70.722359,0,0,0,0.0,0
-167.2,100,70.821029,0,0,0,0.0,0
-3.6,100,72.055172,0,0,0,0.0,0
-105.7,100,72.157676,0,0,0,0.0,0
-63.9,100,72.270755,0,0,0,0.0,0
-208.0,100,72.369956,0,0,0,0.0,0
-83.9,100,72.47614,0,0,0,0.0,0
-81.8,100,72.592729,0,0,0,0.0,0
1.6,100,72.699883,0,0,0,0.0,0
-58.7,100,72.811965,0,0,0,0.0,0
-14.7,100,72.910187,0,0,0,0.0,0
2.0,100,73.009513,0,0,0,0.0,0
-3.0,100,73.120239,0,0,0,0.0,0
-0.4,100,73.221661,0,0,0,0.0,0
0.7,100,73.322648,0,0,0,0.0,0
-37.0,100,73.419966,0,0,0,0.0,0
1.2,100,73.517836,0,0,0,0.0,0
-76.1,100,73.615922,0,0,0,0.0,0
-49.5,100,73.724416,0,0,0,0.0,0
-0.6,100,73.829993,0,0,0,0.0,0
-10.4,100,73.926539,0,0,0,0.0,0
-28.1,100,74.040882,0,0,0,0.0,0
-26.8,100,75.223106,0,0,0,0.0,0
-189.0,100,75.331042,0,0,0,0.0,0
-197.4,100,75.439476,0,0,0,0.0,0
-216.4,100,75.553613,0,0,0,0.0,0
1.4,100,75.64993,0,0,0,0.0,0
-44.3,100,75.769027,0,0,0,0.0,0
